Other
Abdul Gusau Polytechnic, Zamfara State
Abdul Gusau Polytechnic, Zamfara State
Abia State University, Uturu.
Abubakar Tafari Ali Polytechnic, Bauchi State
Abubakar Tafawa Balewa University, Bauchi
Achievers University, Owo
Adamawa State Polytechnic, Adamawa State
Adamawa State University Mubi
Adekunle Ajasin University, Akungba.
Adeleke University,Ede.
Afe Babalola University, Ado-Ekiti - Ekiti State
African University of Science & Technology, Abuja
Ahmadu Bello University, Zaria
Ajayi Crowther University, Ibadan
Akanu Ibiam Federal Polytechnic, Ebonyi State
Akperan Orshi College of Agriculture, Benue State
Akwa Ibom State Polytechnic, Akwa Ibom State
Akwa Ibom State University of Technology, Uyo
Akwa-Ibom College of Agriculture, Akwa Ibom State
Al-Hikmah University, Ilorin
Al-Qalam University, Katsina
Allover Central Polytechnic, Ogun State
Ambrose Alli University, Ekpoma,
American University of Nigeria, Yola
Anambra State University of Science & Technology, Uli
Auchi Polytechnic, Edo State
Audu Bako School of Agriculture, Kano State
Babcock University,Ilishan-Remo
Bauchi State University, Gadau
Bayelsa State College of Arts and Science, Bayelsa State
Bayero University,Kano
Baze University
Bells University of Technology, Otta
Benson Idahosa University,Benin City
Benue State Polytechnic, Benue State
Benue State University, Makurdi.
Bingham University, New Karu
Borno College of Agriculture, Borno State
Bowen University, Iwo
Bukar Abba Ibrahim University, Damaturu.
CETEP City University, Lagos
Caleb University, Lagos
Caritas University, Enugu
College of Agriculture and Animal Science, Kaduna State
College of Agriculture, Jalingo, Taraba State
College of Agriculture, Kabba, Kogi State
College of Agriculture, Lafia, Nasarawa State
College of Agriculture, Zuru, Kebbi State
Covenant University Ota
Crawford University Igbesa
Crescent University,
Cross River State University of Science &Technology, Calabar
Delta State College of Agriculture, Delta State
Delta State Polytechnic (three institutions), Delta State
Delta State University Abraka
Dorben Polytechnic, Abuja FCT
Eastern Polytechnic, Rivers State
Ebonyi State University, Abakaliki
Ekiti State University
Ekwenugo Okeke Polytechnic, Anambra State
Elizade University, Ilara-Mokin
Enugu State University of Science and Technology, Enugu
Evangel University, Akaeze
Federal College of Agriculture, Ishiagu, Ebonyi State
Federal College of Animal Health & Production Technology, Oyo State
Federal College of Animal Health and Production Technology, Ibadan, Oyo State
Federal College of Animal Health and Production Technology, Vom, Plateau State
Federal College of Chemical and Leather and Technology, Kaduna State
Federal College of Education, Pankshin, Plateau State
Federal College of Fisheries and Marine Technology, Lagos State
Federal College of Forestry Mechanisation, Kaduna State
Federal College of Forestry, Ibadan, Oyo State
Federal College of Forestry. Jos, Plateau State
Federal College of Fresh Water Fisheries Technology, Niger State
Federal College of Land Resources Technology, Kuru, Plateau State
Federal College of Land Resources Technology, Owerri, Imo State
Federal College of Wildlife Management, Niger State
Federal Polytechnic, Ado-Ekiti, Ekiti State
Federal Polytechnic, Bauchi, Bauchi State
Federal Polytechnic, Bida, Niger State
Federal Polytechnic, Birnin-Kebbi, Kebbi State
Federal Polytechnic, Damaturu, Yobe State
Federal Polytechnic, Ede, Osun State
Federal Polytechnic, Idah, Kogi State
Federal Polytechnic, Ilaro, Ogun State
Federal Polytechnic, Mubi, Adamawa State
Federal Polytechnic, Namoda, Zamfara State
Federal Polytechnic, Nassarawa, Nasarawa State
Federal Polytechnic, Nekede, Imo State
Federal Polytechnic, Offa, Kwara State
Federal Polytechnic, Oko, Anambra State
Federal School of Dental Technology & Therapy, Enugu State
Federal University Gashua
Federal University of Petroleum Resources, Effurun
Federal University of Technology, Akure
Federal University of Technology, Minna.
Federal University of Technology, Owerri
Federal University, Dutse, Jigawa State
Federal University, Dutsin-Ma, Katsina
Federal University, Kashere, Gombe State
Federal University, Lafia, Nasarawa State
Federal University, Lokoja, Kogi State
Federal University, Ndufu-Alike, Ebonyi State
Federal University, Otuoke, Bayelsa
Federal University, Oye-Ekiti, Ekiti State
Federal University, Wukari, Taraba State
Federal University,Birnin Kebbi.
Federal University,Gusau.
Foundation College of Technology, Akwa Ibom State
Fountain Unveristy,Oshogbo
Gateway Polytechnic Saapade, Ogun State
Godfrey Okoye University, Ugwuomu-Nike - Enugu State
Gombe State Univeristy, Gombe
Grace Polytechnic, Lagos State
Gregory University, Uturu
Hassan Usman Katsina Polytechnic, Katsina State
Hussaini Adamu Federal Polytechnic, Jigawa State
Hussani Adamu Polytechnic, Jigawa State
Ibrahim Babangida College of Agriculture, Cross River State
Ibrahim Badamasi Babangida University, Lapai
Igbinedion University Okada
Ignatius Ajuru University of Education,Rumuolumeni.
Imo State Polytechnic, Imo State
Imo State Technological Skills Acquisition Center, Imo State
Imo State University, Owerri
Institute of Management Technology, Enugu, Enugu State
Jigawa State University
Joseph Ayo Babalola University, Ikeji-Arakeji
Kaduna Polytechnic, Kaduna State
Kaduna State University, Kaduna
Kano State Polytechnic, Kano State
Kano University of Science & Technology, Wudil
Kebbi State Polytechnic, Kebbi State
Kebbi State University, Kebbi
Kings Polytechnic, Edo State
Kogi State Polytechnic, Kogi State
Kogi State University Anyigba
Kwara State Polytechnic, Kwara State
Kwara State University, Ilorin
Kwararafa University, Wukari
Ladoke Akintola University of Technology, Ogbomoso
Lagos City Polytechnic, Lagos State
Lagos State Polytechnic, Lagos State
